127.0.0.1, 2017-04-01 17:02:29, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.001192
127.0.0.1, 2017-04-01 17:02:29, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002522
127.0.0.1, 2017-04-01 17:02:29, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000991
127.0.0.1, 2017-04-01 17:02:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000352
127.0.0.1, 2017-04-01 17:02:30, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000566
127.0.0.1, 2017-04-01 17:02:35, POST, /admin/default/index, HTTP/1.1, 303, 0.034690
127.0.0.1, 2017-04-01 17:02:35, GET, /admin/default/site, HTTP/1.1, 200, 0.044519
127.0.0.1, 2017-04-01 17:02:35, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.002336
127.0.0.1, 2017-04-01 17:02:35, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.005328
127.0.0.1, 2017-04-01 17:02:35, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000731
127.0.0.1, 2017-04-01 17:02:36, POST, /admin/default/check_version, HTTP/1.1, 200, 0.186184
127.0.0.1, 2017-04-01 17:02:44, GET, /examples/default/index, HTTP/1.1, 200, 0.007428
127.0.0.1, 2017-04-01 17:02:44, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000725
127.0.0.1, 2017-04-01 17:02:44, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001283
127.0.0.1, 2017-04-01 17:02:44, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.000511
127.0.0.1, 2017-04-01 17:02:44, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.004093
127.0.0.1, 2017-04-01 17:02:44, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.002598
127.0.0.1, 2017-04-01 17:02:44, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.004739
127.0.0.1, 2017-04-01 17:02:44, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.003734
127.0.0.1, 2017-04-01 17:02:44, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000596
127.0.0.1, 2017-04-01 17:02:44, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.003095
127.0.0.1, 2017-04-01 17:02:44, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001460
127.0.0.1, 2017-04-01 17:02:44, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.002279
127.0.0.1, 2017-04-01 17:02:44, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.003432
127.0.0.1, 2017-04-01 17:02:44, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000458
127.0.0.1, 2017-04-01 17:02:48, GET, /examples/default/index, HTTP/1.1, 200, 0.006962
127.0.0.1, 2017-04-01 17:03:01, GET, /admin/default/index, HTTP/1.1, 303, 0.005264
127.0.0.1, 2017-04-01 17:03:01, GET, /admin/default/site, HTTP/1.1, 200, 0.047822
127.0.0.1, 2017-04-01 17:03:02, GET, /joinup/default/index, HTTP/1.1, 200, 0.019306
127.0.0.1, 2017-04-01 17:03:06, GET, /joinup/default/index, HTTP/1.1, 200, 0.017466
127.0.0.1, 2017-04-01 17:03:09, GET, /examples/default/index, HTTP/1.1, 200, 0.006985
127.0.0.1, 2017-04-01 17:03:15, GET, /examples/default/index, HTTP/1.1, 200, 0.006711
127.0.0.1, 2017-04-01 17:03:21, GET, /examples/default/examples, HTTP/1.1, 200, 0.058958
127.0.0.1, 2017-04-01 17:10:32, GET, /admin/default/site, HTTP/1.1, 200, 0.041382
127.0.0.1, 2017-04-01 17:10:43, GET, /admin/default/design/joinup, HTTP/1.1, 200, 0.087057
